Subject Code,Question Text,Option A,Option B,Option C,Option D,Correct Answer,Question Order
SS2_CHEM,"Which of the following statements about chemical reactions is not correct?","The higher the activation energy, the faster the reaction","The lower the reaction energy, the faster the reaction","The higher the temperature, the faster the reaction","The addition of a catalyst lowers the activation energy","A",31
SS2_CHEM,"The reaction of a fixed mass of iron filings with 0.50 mol dm-3 hydrochloric acid can be made to proceed faster by _____","adding 0.50 mol dm-3 NaOH","using 0.25 mol dm-3 acid instead","increasing the volume of acid used","adding some concentrated HCl","D",32
SS2_CHEM,"Which of the following best explains the increase in the rate of a chemical reaction as the temperature rises?","A lower proportion of molecules has the minimum energy","The bonds in the reacting molecules are more readily broken","The collision frequency of the molecules increases","The molecule collisions become more violent","C",33
SS2_CHEM,"Which of the following is true of a catalyst?","It offers the activation energy","It is effective but cannot initiate a reaction","It affects the equilibrium","It affects the overall reaction","B",34
SS2_CHEM,"The enthalpy change for an endothermic reaction is ____________","positive","negative","zero","none of the above","A",35
SS2_CHEM,"A chemical reaction in which heat is given to the surrounding is known as ____________","exothermic reaction","endothermic reaction","chemical reaction","nuclear reaction","A",36
SS2_CHEM,"The enthalpy change for an exothermic reaction is ____________","positive","negative","zero","none of the above","B",37
SS2_CHEM,"A chemical reaction in which heat is absorbed from the surrounding is known as ____________","exothermic reaction","endothermic reaction","chemical reaction","nuclear reaction","B",38
SS2_CHEM,"The standard temperature for a chemical is ____________","27°C","25°C","28°C","22°C","B",39
SS2_CHEM,"____________ is the heat change when one mole of that substance is formed from its elements under standard condition","standard heat of formation","standard heat of neutralization","standard heat of combustion","standard heat of vaporization","A",40
SS2_CHEM,"____________ is the measure of the degree of disorder or randomness of a system","enthalpy","entropy","neutralization","vaporization","B",41
SS2_CHEM,"The amount of energy required to change 20g of water to steam is 50kJmol⁻¹. Calculate the standard heat of vaporization","45kJmol⁻¹","50kJmol⁻¹","55kJmol⁻¹","60kJmol⁻¹","B",42
SS2_CHEM,"Entropy is denoted by the letter ____________","E","C","S","T","C",43
SS2_CHEM,"The entropy and enthalpy of a system are a measure of ____________","degree of disorderliness and heat content respectively","heat content and degree of disorderliness respectively","heat content of a system only","degree of disorderliness","A",44
SS2_CHEM,"If the value of ΔH for a reaction is negative, it means that the reaction is ____________","endothermic","exothermic","irreversible","spontaneous","B",45
SS2_CHEM,"The position of equilibrium in a reversible reaction is affected by ____________","particle size of elements","change in concentration of the reaction","change in size of the reaction vessel","presence of catalyst","B",46
SS2_CHEM,"Find the pH of a solution of concentration 0.0001M","4","3","2","1","A",47
SS2_CHEM,"____________ of a solution is defined as the logarithm to base 10 of the reciprocal of the hydrogen ion concentration","equilibrium constant","mole ratio","indicator","pH","D",48
SS2_CHEM,"The factors that affect the equilibrium are (i) temperature, (ii) concentration, (iii) pressure","I and ii only","I and iii only","ii and iii only","I, ii and iii","D",49
SS2_CHEM,"____________ states that at constant temperature, the rate of a chemical reaction is directly proportional to the active mass of the reacting substances","Avogadro’s law","Law of mass action","Le Chatelier’s principle","Athenaeum’s theory","B",50
