Subject Code,Question Text,Option A,Option B,Option C,Option D,Correct Answer,Question Order
SS2_HOME,"Perfect knowledge of events in a perfect market will be made possible by the existence of","Many buyers and sellers","Homogeneous products","Means of communication","Large number of traders","C",27
SS2_HOME,"Which of the following measures will not encourage industrialization in West Africa?","Taking over of all forms of industries by the government","Provision of social infrastructure","Giving tax incentives especially to infant industries","Using tariffs to discourage the use of imported items","A",28
SS2_HOME,"In economics, a market is defined as any","Agreement made for consumers to buy all they need","Agreement to sell commodity at low prices","Arrangement made for producers to sell all their goods","Arrangement whereby buyers and sellers are in close contact","D",29
SS2_HOME,"The following constitutes the criteria for identifying an economic system except","Ownership of resources","Scarcity of resources","Method of decision making","Motivation for production","B",30
SS2_HOME,"The movement of labour from one grade to an entirely different grade is an example of","Industrial labour mobility","Horizontal occupational mobility","Vertical occupational mobility","Geographical mobility","C",31
SS2_HOME,"Which of the following is not a strong basis for trade union demand for higher wages?","The company is making higher profit","Productivity of the worker has increased","Members of the union have high qualification","Commodity produced by the worker is very essential","C",32
SS2_HOME,"An industry is best described as","Firms that sell a set of closely related commodities","A factory that produces different lines of products","A group of firms that sell a closely related set of products","Industrial concern that is into production and selling goods","C",33
SS2_HOME,"Which of the following statement is correct?","As total utility increases the marginal utility also increases","The marginal utility is always zero whenever the total utility reaches the maximum","The total utility is at maximum whenever the marginal utility is at its minimum","There is no relationship between total utility and the marginal utility","B",34
SS2_HOME,"Points outside a production possibility curve indicate","Unattainable production levels","Attainable production levels","Inefficient but attainable production levels","Optimum production levels","A",35
SS2_HOME,"One of the problems facing industrial development in West African countries is","Inadequate large market","Inadequate infrastructure","Inadequate supply of labour","Unavailability of natural resources","B",36
SS2_HOME,"The allocation of goods and services in a free market economy is performed by","The price system","The banking system","The central planning body","Government","A",37
SS2_HOME,"If a firm’s price is less than average cost but more than average variable cost, the firm is covering","All of its fixed cost and variable cost","All of its fixed cost and part of variable cost","All of its variable cost and part of fixed cost","Part of its fixed cost and part of variable cost","C",38
SS2_HOME,"A market structure where profit is maximized when marginal revenue, marginal cost and price are equal is known as","Perfect competition","Monopoly","Oligopoly","Imperfect competition","A",39
SS2_HOME,"In which of the following markets does a firm have power to make super normal profits both in the short run and long run?","Monopoly","Duopoly","Oligopoly","Monopolistic","A",40
SS2_HOME,"The component of three sector economy are","Banks, schools and hospital","Workers, producers and marketers","Households, firms and the government","Producers, retailers and wholesalers","C",41
SS2_HOME,"Which of the following is the main outcome of a trade union’s interference with the wage rate?","Wages are lowered but employment level remains unchanged","Wages are lowered but more employment opportunities are created","Wages are increased and employment levels are unchanged","Wages are increased but employment levels are reduced","D",42
SS2_HOME,"Which of the following statement is not a feature of a monopoly","Seller is allowed to fix his own price","Buyers and sellers are price takers","New entrances are restricted","There is only one seller of the commodity","B",43
SS2_HOME,"The movement of labour from one grade to an entirely different grade is an example of","Industrial labour mobility","Horizontal occupational mobility","Vertical occupational mobility","Geographical mobility","C",44
SS2_HOME,"Which of the following is not a strong basis for trade union demand for higher wages?","The company is making higher profit","Productivity of the worker has increased","Members of the union have high qualification","Commodity produced by the worker is very essential","C",45
SS2_HOME,"Productive resources can also be called","Principle of production","Factors of production","Items of production","Labour and material resources","B",46
SS2_HOME,"Production covers all the following except when","Utility is created","A good is manufactured","A commodity is consumed","Individual want","C",47
SS2_HOME,"In a socialist economy, prices of commodities are determined by","Forces of demand and supply","Producers of the commodities","The central planning authority","Consumers who are sovereign","C",48
SS2_HOME,"Human wants are insatiable because wants are","Limited while means are scarce","Unlimited and means are also unlimited","Limited and means are also limited","Unlimited while means are scarce","D",49
SS2_HOME,"Scale of preference is important for the following reasons except in","Satisfying wants","Making rational choice","Making optimum allocation of resources","Using scarce resources","A",50
