Subject Code,Question Text,Option A,Option B,Option C,Option D,Correct Answer,Question Order
BASIC5_YOR,"Okoo ____________","20","40","60","50","A","35"
BASIC5_YOR,"[HEADER] Idile wo ni ati bi awon eniyan wonyii (36 - 40)",,,,,,
BASIC5_YOR,"Adeyeye","Idile Oba","Idile Awo","Idile Onilu","Idile Eleegun","A","36"
BASIC5_YOR,"Awoleye","Idile Oba","Idile Awo","Idile Onilu","Idile Eleegun","B","37"
BASIC5_YOR,"Fayemi","Idile Ifa","Idile Awo","Idile Onilu","Idile Eleegun","A","38"
BASIC5_YOR,"Ayangalu","Idile Oba","Idile Awo","Idile Onilu","Idile Eleegun","C","39"
BASIC5_YOR,"Eegunjobi","Idile Oba","Idile Awo","Idile Onilu","Idile Eleegun","D","40"
BASIC5_YOR,"[HEADER] So itumo akanlo ede wonyii (41 - 45)",,,,,,
BASIC5_YOR,"Fori sanpon","ko yori si rere","jafara","mu suuru","soro","A","41"
BASIC5_YOR,"Dagunla","sokun","dake","rerin","fohun","B","42"
BASIC5_YOR,"Eja n bakan","Ko yori si rere","la oro mole","iroyin buburu tabi rere","oro Pataki","C","43"
BASIC5_YOR,"Ara tutu","ojo ro","aso tuntun","owo wa lowo eni","se faaji","C","44"
BASIC5_YOR,"Re isun da si ibu","bu ni leebu","nkan ribiribi baje","mu nkan nibi tio tip o si ibi ti o po pupo si","fi gbogbo agbara si nkan","C","45"
BASIC5_YOR,"[HEADER] Mu asiwaju oro oruko ninu gbolohun wonyii (46 - 47)",,,,,,
BASIC5_YOR,"Jumoke joko sori aga","Jumoke","Joko","sori","aga","B","46"
BASIC5_YOR,"Ola ni Dayo yoo lo si Eko","Dayo","Ola","Yoo","lo","C","47"
BASIC5_YOR,"[HEADER] Kini itumo oruiko amutorunwa wonyii (48 - 50)",,,,,,
BASIC5_YOR,"Omo ti a bi ti o ninu apo ni ____________","Aina","Olugbodi","Ilori","Oke","D","48"
BASIC5_YOR,"Omo okunrin ti o gbe olubi re korun","Aina","Ojo","Ajayi","Oke","B","49"
BASIC5_YOR,"Omo ti o ni ika owo mefa","Aina","Olugbodi","Ilori","Oke","B","50"
